Date,People saw 0 cars (unique),People saw +1 cars (unique),Coverage Ratio (unique)
2016-12-18 23,9,32,78
2016-12-18 22,29,64,69
2016-12-18 21,5,39,89
2016-12-18 20,13,48,79
2016-12-18 19,12,77,87
2016-12-18 18,13,62,83
2016-12-18 17,9,61,87
2016-12-18 16,20,60,75
2016-12-18 15,7,37,84
2016-12-18 14,16,43,73
2016-12-18 13,19,46,71
2016-12-18 12,9,35,80
2016-12-18 11,9,20,69
2016-12-18 10,7,15,68
2016-12-18 09,7,5,42
2016-12-18 08,0,10,100
2016-12-18 07,1,4,80
2016-12-18 06,3,15,83
2016-12-18 05,12,33,73
2016-12-18 04,47,55,54
2016-12-18 03,15,72,83
2016-12-18 02,1,64,98
2016-12-18 01,21,69,77
2016-12-18 00,7,81,92
2016-12-17 23,10,79,89
2016-12-17 22,5,83,94
2016-12-17 21,25,96,79
2016-12-17 20,48,84,64
2016-12-17 19,34,89,72
2016-12-17 18,17,54,76
2016-12-17 17,24,63,72
2016-12-17 16,7,44,86
2016-12-17 15,14,39,74
2016-12-17 14,23,51,69
2016-12-17 13,16,32,67
2016-12-17 12,16,42,72
2016-12-17 11,30,25,45
2016-12-17 10,36,18,33
2016-12-17 09,37,25,40
2016-12-17 08,17,15,47
2016-12-17 07,8,11,58
2016-12-17 06,10,9,47
2016-12-17 05,12,25,68
2016-12-17 04,106,54,34
2016-12-17 03,105,87,45
2016-12-17 02,67,102,60
2016-12-17 01,69,96,58
2016-12-17 00,51,115,69
2016-12-16 23,5,107,96
2016-12-16 22,21,107,84
2016-12-16 21,39,153,80
2016-12-16 20,87,172,66
2016-12-16 19,129,141,52
2016-12-16 18,62,169,73
2016-12-16 17,29,127,81
2016-12-16 16,85,54,39
2016-12-16 15,80,36,31
2016-12-16 14,54,47,47
2016-12-16 13,66,25,27
2016-12-16 12,37,44,54
2016-12-16 11,32,53,62
2016-12-16 10,44,60,58
2016-12-16 09,90,73,45
2016-12-16 08,54,50,48
2016-12-16 07,22,13,37
2016-12-16 06,2,3,60
2016-12-16 05,2,4,67
2016-12-16 04,18,13,42
2016-12-16 03,59,18,23
2016-12-16 02,59,26,31
2016-12-16 01,34,40,54
2016-12-16 00,26,60,70
2016-12-15 23,34,89,72
2016-12-15 22,2,91,98
2016-12-15 21,16,97,86
2016-12-15 20,66,105,61
2016-12-15 19,105,81,44
2016-12-15 18,124,72,37
2016-12-15 17,51,66,56
2016-12-15 16,20,46,70
2016-12-15 15,18,25,58
2016-12-15 14,28,32,53
2016-12-15 13,31,32,51
2016-12-15 12,18,32,64
2016-12-15 11,20,46,70
2016-12-15 10,27,47,64
2016-12-15 09,43,57,57
2016-12-15 08,57,37,39
2016-12-15 07,17,14,45
2016-12-15 06,2,2,50
2016-12-15 05,0,3,100
2016-12-15 04,5,3,38
2016-12-15 03,13,9,41
2016-12-15 02,16,20,56
2016-12-15 01,7,30,81
2016-12-15 00,29,62,68
2016-12-14 23,13,71,85
2016-12-14 22,14,71,84
2016-12-14 21,12,68,85
2016-12-14 20,22,83,79
2016-12-14 19,75,79,51
2016-12-14 18,96,66,41
2016-12-14 17,43,66,61
2016-12-14 16,14,48,77
2016-12-14 15,11,42,79
2016-12-14 14,10,21,68
2016-12-14 13,2,36,95
2016-12-14 12,9,28,76
2016-12-14 11,2,27,93
2016-12-14 10,19,52,73
2016-12-14 09,61,64,51
2016-12-14 08,51,44,46
2016-12-14 07,17,22,56
2016-12-14 06,1,3,75
2016-12-14 05,2,3,60
2016-12-14 04,3,3,50
2016-12-14 03,12,3,20
2016-12-14 02,10,11,52
2016-12-14 01,13,16,55
2016-12-14 00,7,28,80
2016-12-13 23,11,52,83
2016-12-13 22,13,63,83
2016-12-13 21,9,83,90
2016-12-13 20,3,62,95
2016-12-13 19,30,83,73
2016-12-13 18,58,76,57
2016-12-13 17,30,52,63
2016-12-13 16,15,29,66
2016-12-13 15,10,20,67
2016-12-13 14,9,26,74
2016-12-13 13,11,25,69
2016-12-13 12,15,31,67
2016-12-13 11,9,33,79
2016-12-13 10,14,33,70
2016-12-13 09,61,50,45
2016-12-13 08,80,32,29
2016-12-13 07,24,14,37
2016-12-13 06,8,7,47
2016-12-13 05,1,3,75
2016-12-13 04,0,1,100
2016-12-13 03,1,2,67
2016-12-13 02,1,7,88
2016-12-13 01,7,10,59
2016-12-13 00,17,25,60
2016-12-12 23,6,29,83
2016-12-12 22,12,41,77
2016-12-12 21,17,33,66
2016-12-12 20,1,45,98
2016-12-12 19,12,52,81
2016-12-12 18,9,52,85
2016-12-12 17,9,46,84
2016-12-12 16,8,30,79
2016-12-12 15,5,17,77
2016-12-12 14,4,24,86
2016-12-12 13,8,26,76
2016-12-12 12,4,27,87
2016-12-12 11,4,30,88
2016-12-12 10,23,36,61
2016-12-12 09,41,45,52
2016-12-12 08,42,29,41
2016-12-12 07,21,13,38
2016-12-12 06,10,2,17
2016-12-12 05,2,0,0
2016-12-12 04,6,0,0
2016-12-12 03,5,2,29
2016-12-12 02,5,5,50
2016-12-12 01,9,19,68
2016-12-12 00,17,43,72
2016-12-11 23,37,39,51
2016-12-11 22,10,48,83
2016-12-11 21,12,41,77
2016-12-11 20,9,54,86
2016-12-11 19,23,53,70
2016-12-11 18,24,67,74
2016-12-11 17,25,47,65
2016-12-11 16,14,34,71
2016-12-11 15,10,35,78
2016-12-11 14,26,41,61
2016-12-11 13,20,32,62
2016-12-11 12,32,30,48
2016-12-11 11,23,19,45
2016-12-11 10,10,14,58
2016-12-11 09,9,14,61
2016-12-11 08,10,8,44
2016-12-11 07,3,5,63
2016-12-11 06,4,5,56
2016-12-11 05,20,14,41
2016-12-11 04,27,17,39
2016-12-11 03,18,48,73
2016-12-11 02,15,49,77
2016-12-11 01,4,76,95
2016-12-11 00,10,73,88
2016-12-10 23,10,67,87
2016-12-10 22,6,59,91
2016-12-10 21,0,69,100
2016-12-10 20,15,83,85
2016-12-10 19,18,63,78
2016-12-10 18,11,47,81
2016-12-10 17,3,40,93
2016-12-10 16,9,38,81
2016-12-10 15,6,29,83
2016-12-10 14,12,37,76
2016-12-10 13,6,22,79
2016-12-10 12,15,31,67
2016-12-10 11,7,34,83
2016-12-10 10,3,27,90
2016-12-10 09,9,17,65
2016-12-10 08,12,13,52
2016-12-10 07,3,9,75
2016-12-10 06,6,12,67
2016-12-10 05,18,24,57
2016-12-10 04,69,37,35
2016-12-10 03,63,46,42
2016-12-10 02,34,71,68
2016-12-10 01,10,87,90
2016-12-10 00,10,78,89
2016-12-09 23,4,74,95
2016-12-09 22,37,80,68
2016-12-09 21,64,102,61
2016-12-09 20,43,97,69
2016-12-09 19,27,106,80
2016-12-09 18,51,75,60
2016-12-09 17,22,56,72
2016-12-09 16,28,35,56
2016-12-09 15,19,53,74
2016-12-09 14,22,42,66
2016-12-09 13,18,33,65
2016-12-09 12,5,30,86
2016-12-09 11,11,38,78
2016-12-09 10,31,50,62
2016-12-09 09,62,73,54
2016-12-09 08,38,44,54
2016-12-09 07,21,17,45
2016-12-09 06,6,3,33
2016-12-09 05,3,5,63
2016-12-09 04,16,4,20
2016-12-09 03,12,17,59
2016-12-09 02,8,25,76
2016-12-09 01,3,25,89
2016-12-09 00,14,60,81
2016-12-08 23,7,49,88
2016-12-08 22,9,62,87
2016-12-08 21,25,76,75
2016-12-08 20,12,90,88
2016-12-08 19,46,107,70
2016-12-08 18,83,91,52
2016-12-08 17,39,71,65
2016-12-08 16,5,46,90
2016-12-08 15,5,39,89
2016-12-08 14,5,33,87
2016-12-08 13,5,30,86
2016-12-08 12,5,23,82
2016-12-08 11,4,26,87
2016-12-08 10,5,47,90
2016-12-08 09,17,65,79
2016-12-08 08,26,45,63
2016-12-08 07,15,18,55
2016-12-08 06,5,2,29
2016-12-08 05,2,3,60
2016-12-08 04,8,2,20
2016-12-08 03,7,6,46
2016-12-08 02,9,10,53
2016-12-08 01,2,14,88
2016-12-08 00,9,40,82
2016-12-07 23,14,49,78
2016-12-07 22,11,49,82
2016-12-07 21,5,50,91
2016-12-07 20,10,66,87
2016-12-07 19,45,77,63
2016-12-07 18,52,71,58
2016-12-07 17,5,48,91
2016-12-07 16,4,26,87
2016-12-07 15,4,34,89
2016-12-07 14,9,40,82
2016-12-07 13,7,32,82
2016-12-07 12,3,29,91
2016-12-07 11,3,35,92
2016-12-07 10,11,44,80
2016-12-07 09,27,64,70
2016-12-07 08,28,46,62
2016-12-07 07,16,21,57
2016-12-07 06,5,11,69
2016-12-07 04,2,2,50
2016-12-07 03,0,2,100
2016-12-07 02,5,13,72
2016-12-07 01,0,16,100
2016-12-07 00,2,34,94
2016-12-06 23,6,46,88
2016-12-06 22,4,40,91
2016-12-06 21,6,43,88
2016-12-06 20,7,60,90
2016-12-06 19,15,74,83
2016-12-06 18,47,68,59
2016-12-06 17,1,50,98
2016-12-06 16,3,37,93
2016-12-06 15,7,26,79
2016-12-06 14,8,27,77
2016-12-06 13,7,25,78
2016-12-06 12,7,24,77
2016-12-06 11,10,32,76
2016-12-06 10,22,44,67
2016-12-06 09,39,66,63
2016-12-06 08,21,45,68
2016-12-06 07,19,22,54
2016-12-06 06,6,3,33
2016-12-06 05,1,2,67
2016-12-06 04,3,1,25
2016-12-06 03,6,3,33
2016-12-06 02,2,4,67
2016-12-06 01,9,14,61
2016-12-06 00,3,19,86
2016-12-05 23,4,26,87
2016-12-05 22,4,38,90
2016-12-05 21,7,39,85
2016-12-05 20,9,65,88
2016-12-05 19,28,85,75
2016-12-05 18,31,91,75
2016-12-05 17,4,57,93
2016-12-05 16,8,36,82
2016-12-05 15,7,22,76
2016-12-05 14,6,30,83
2016-12-05 13,6,26,81
2016-12-05 12,5,34,87
2016-12-05 11,4,33,89
2016-12-05 10,10,38,79
2016-12-05 09,32,66,67
2016-12-05 08,20,41,67
2016-12-05 07,13,33,72
2016-12-05 06,6,9,60
2016-12-05 05,1,1,50
2016-12-05 04,4,3,43
2016-12-05 03,1,4,80
2016-12-05 02,2,7,78
2016-12-05 01,4,12,75
2016-12-05 00,10,25,71
2016-12-04 23,10,30,75
2016-12-04 22,8,45,85
2016-12-04 21,8,44,85
2016-12-04 20,4,59,94
2016-12-04 19,8,62,89
2016-12-04 18,7,39,85
2016-12-04 17,3,55,95
2016-12-04 16,4,47,92
2016-12-04 15,1,29,97
2016-12-04 14,6,24,80
2016-12-04 13,4,31,89
2016-12-04 12,4,25,86
2016-12-04 11,4,23,85
2016-12-04 10,2,18,90
2016-12-04 09,3,15,83
2016-12-04 08,6,5,45
2016-12-04 07,1,5,83
2016-12-04 06,2,7,78
2016-12-04 05,6,17,74
2016-12-04 04,4,28,88
2016-12-04 03,3,20,87
2016-12-04 02,4,30,88
2016-12-04 01,8,31,79
2016-12-04 00,6,49,89
2016-12-03 23,1,30,97
2016-12-03 22,1,34,97
2016-12-03 21,3,32,91
2016-12-03 20,8,38,83
2016-12-03 19,3,29,91
2016-12-03 18,3,34,92
2016-12-03 17,1,22,96
2016-12-03 16,5,22,81
2016-12-03 15,1,25,96
2016-12-03 14,5,26,84
2016-12-03 13,3,17,85
2016-12-03 12,4,25,86
2016-12-03 11,6,14,70
2016-12-03 10,2,12,86
2016-12-03 09,1,9,90
2016-12-03 08,3,7,70
2016-12-03 07,1,2,67
2016-12-03 06,0,4,100
2016-12-03 05,1,8,89
2016-12-03 04,1,12,92
2016-12-03 03,1,19,95
2016-12-03 02,0,14,100
2016-12-03 01,3,26,90
2016-12-03 00,0,29,100
2016-12-02 23,5,31,86
2016-12-02 22,2,27,93
2016-12-02 21,1,26,96
2016-12-02 20,3,33,92
2016-12-02 19,3,36,92
2016-12-02 18,1,33,97
2016-12-02 17,2,34,94
2016-12-02 16,2,29,94
2016-12-02 15,4,25,86
2016-12-02 14,2,19,90
2016-12-02 13,7,21,75
2016-12-02 12,3,27,90
2016-12-02 11,0,28,100
2016-12-02 10,1,19,95
2016-12-02 09,2,23,92
2016-12-02 08,2,21,91
2016-12-02 07,6,8,57
2016-12-02 06,3,2,40
2016-12-02 05,5,7,58
2016-12-02 04,6,5,45
2016-12-02 03,5,10,67
2016-12-02 02,1,15,94
2016-12-02 01,8,33,80
2016-12-02 00,15,55,79
2016-12-01 23,11,56,84
2016-12-01 22,5,37,88
2016-12-01 21,4,33,89
2016-12-01 20,5,57,92
2016-12-01 19,10,58,85
2016-12-01 18,8,46,85
2016-12-01 17,7,40,85
2016-12-01 16,3,28,90
2016-12-01 15,3,23,88
2016-12-01 14,4,26,87
2016-12-01 13,4,28,88
2016-12-01 12,7,28,80
2016-12-01 11,3,21,88
2016-12-01 10,11,27,71
2016-12-01 09,1,21,95
2016-12-01 08,5,13,72
2016-12-01 07,5,6,55
2016-12-01 06,5,1,17
2016-12-01 05,5,5,50
2016-12-01 04,8,13,62
2016-12-01 03,15,19,56
2016-12-01 02,5,27,84
2016-12-01 01,2,33,94
2016-12-01 00,9,48,84
2016-11-30 23,11,59,84
2016-11-30 22,6,39,87
2016-11-30 21,5,34,87
2016-11-30 20,7,44,86
2016-11-30 19,5,46,90
2016-11-30 18,3,37,93
2016-11-30 17,1,34,97
2016-11-30 16,3,30,91
2016-11-30 15,8,26,76
2016-11-30 14,3,29,91
2016-11-30 13,11,34,76
2016-11-30 12,7,30,81
2016-11-30 11,2,20,91
2016-11-30 10,5,19,79
2016-11-30 09,7,19,73
2016-11-30 08,4,21,84
2016-11-30 07,10,16,62
2016-11-30 06,11,14,56
2016-11-30 05,13,20,61
2016-11-30 04,48,26,35
2016-11-30 03,27,25,48
2016-11-30 02,3,14,82
2016-11-30 01,3,50,94
2016-11-30 00,3,67,96
2016-11-29 23,7,90,93
2016-11-29 22,5,97,95
2016-11-29 21,13,86,87
2016-11-29 20,10,88,90
2016-11-29 19,27,89,77
2016-11-29 18,44,77,64
2016-11-29 17,19,45,70
2016-11-29 16,24,43,64
2016-11-29 15,15,43,74
2016-11-29 14,6,34,85
2016-11-29 13,8,43,84
2016-11-29 12,5,32,86
2016-11-29 11,10,41,80
2016-11-29 10,9,52,85
2016-11-29 09,33,64,66
2016-11-29 08,17,55,76
2016-11-29 07,9,22,71
2016-11-29 06,3,6,67
2016-11-29 05,3,3,50
2016-11-29 04,2,3,60
2016-11-29 03,1,4,80
2016-11-29 02,6,3,33
2016-11-29 01,1,6,86
2016-11-29 00,6,23,79
2016-11-28 23,7,36,84
2016-11-28 22,7,48,87
2016-11-28 21,2,37,95
2016-11-28 20,2,41,95
2016-11-28 19,4,70,95
2016-11-28 18,1,64,98
2016-11-28 17,3,45,94
2016-11-28 16,2,40,95
2016-11-28 15,8,33,80
2016-11-28 14,5,24,83
2016-11-28 13,5,29,85
2016-11-28 12,1,25,96
2016-11-28 11,5,20,80
2016-11-28 10,4,55,93
2016-11-28 09,20,51,72
2016-11-28 08,21,42,67
2016-11-28 07,24,21,47
2016-11-28 06,7,6,46
2016-11-28 05,2,1,33
2016-11-28 04,7,1,13
2016-11-28 03,2,4,67
2016-11-28 02,2,9,82
2016-11-28 01,3,12,80
2016-11-28 00,1,17,94
2016-11-27 23,6,34,85
2016-11-27 22,3,45,94
2016-11-27 21,5,48,91
2016-11-27 20,4,41,91
2016-11-27 19,5,34,87
2016-11-27 18,5,40,89
2016-11-27 17,4,44,92
2016-11-27 16,7,25,78
2016-11-27 15,2,30,94
2016-11-27 14,0,16,100
2016-11-27 13,6,41,87
2016-11-27 12,14,34,71
2016-11-27 11,14,30,68
2016-11-27 10,9,21,70
2016-11-27 09,6,16,73
2016-11-27 08,11,15,58
2016-11-27 07,5,3,38
2016-11-27 06,0,10,100
2016-11-27 05,0,19,100
2016-11-27 04,6,34,85
2016-11-27 03,0,34,100
2016-11-27 02,0,38,100
2016-11-27 01,0,68,100
2016-11-27 00,0,73,100
2016-11-26 23,1,61,98
2016-11-26 22,1,52,98
2016-11-26 21,2,47,96
2016-11-26 20,2,49,96
2016-11-26 19,10,55,85
2016-11-26 18,2,31,94
2016-11-26 17,6,32,84
2016-11-26 16,2,31,94
2016-11-26 15,4,49,92
2016-11-26 14,4,27,87
2016-11-26 13,2,26,93
2016-11-26 12,3,30,91
2016-11-26 11,3,39,93
2016-11-26 10,13,41,76
2016-11-26 09,6,23,79
2016-11-26 08,2,18,90
2016-11-26 07,0,8,100
2016-11-26 06,1,8,89
2016-11-26 05,1,10,91
2016-11-26 04,8,29,78
2016-11-26 03,0,37,100
2016-11-26 02,2,40,95
2016-11-26 01,3,32,91
2016-11-26 00,1,49,98
2016-11-25 23,4,63,94
2016-11-25 22,8,51,86
2016-11-25 21,2,49,96
2016-11-25 20,9,63,88
2016-11-25 19,4,65,94
2016-11-25 18,22,86,80
2016-11-25 17,18,68,79
2016-11-25 16,9,49,84
2016-11-25 15,7,44,86
2016-11-25 14,12,39,76
2016-11-25 13,3,42,93
2016-11-25 12,8,36,82
2016-11-25 11,13,40,75
2016-11-25 10,12,55,82
2016-11-25 09,49,66,57
2016-11-25 08,38,50,57
2016-11-25 07,16,27,63
2016-11-25 06,2,3,60
2016-11-25 05,1,2,67
2016-11-25 04,2,4,67
2016-11-25 03,2,8,80
2016-11-25 02,2,12,86
2016-11-25 01,1,19,95
2016-11-25 00,6,48,89
2016-11-24 23,9,63,88
2016-11-24 22,4,42,91
2016-11-24 21,3,52,95
2016-11-24 20,0,56,100
2016-11-24 19,11,78,88
2016-11-24 18,12,79,87
2016-11-24 17,4,57,93
2016-11-24 16,0,39,100
2016-11-24 15,2,19,90
2016-11-24 14,2,24,92
2016-11-24 13,6,36,86
2016-11-24 12,9,28,76
2016-11-24 11,9,39,81
2016-11-24 10,14,49,78
2016-11-24 09,38,72,65
2016-11-24 08,36,60,63
2016-11-24 07,14,26,65
2016-11-24 06,3,8,73
2016-11-24 05,1,4,80
2016-11-24 04,8,4,33
2016-11-24 03,11,4,27
2016-11-24 02,5,11,69
2016-11-24 01,3,25,89
2016-11-24 00,4,53,93
2016-11-23 23,1,72,99
2016-11-23 22,0,61,100
2016-11-23 21,3,56,95
2016-11-23 20,1,54,98
2016-11-23 19,6,71,92
2016-11-23 18,24,116,83
2016-11-23 17,8,158,95
2016-11-23 16,1,25,96
2016-11-23 15,1,27,96
2016-11-23 14,2,18,90
2016-11-23 13,4,25,86
2016-11-23 12,0,26,100
2016-11-23 11,5,20,80
2016-11-23 10,10,31,76
2016-11-23 09,43,68,61
2016-11-23 08,35,43,55
2016-11-23 07,4,18,82
2016-11-23 06,2,8,80
2016-11-23 05,0,3,100
2016-11-23 04,3,3,50
2016-11-23 03,3,7,70
2016-11-23 02,1,6,86
2016-11-23 01,3,7,70
2016-11-23 00,4,24,86
2016-11-22 23,9,34,79
2016-11-22 22,2,44,96
2016-11-22 21,1,30,97
2016-11-22 20,6,47,89
2016-11-22 19,9,65,88
2016-11-22 18,12,66,85
2016-11-22 17,1,35,97
2016-11-22 16,0,24,100
2016-11-22 15,0,9,100
2016-11-22 14,1,19,95
2016-11-22 13,1,23,96
2016-11-22 12,2,15,88
2016-11-22 11,0,21,100
2016-11-22 10,6,39,87
2016-11-22 09,9,49,84
2016-11-22 08,11,42,79
2016-11-22 07,10,22,69
2016-11-22 06,2,8,80
2016-11-22 05,0,1,100
2016-11-22 04,0,4,100
2016-11-22 03,2,1,33
2016-11-22 02,3,5,63
2016-11-22 01,8,11,58
2016-11-22 00,1,17,94
2016-11-21 23,2,22,92
2016-11-21 22,1,30,97
2016-11-21 21,0,35,100
2016-11-21 20,0,32,100
2016-11-21 19,8,44,85
2016-11-21 18,9,56,86
2016-11-21 17,0,30,100
2016-11-21 16,2,21,91
2016-11-21 15,5,19,79
2016-11-21 14,4,21,84
2016-11-21 13,3,15,83
2016-11-21 12,4,27,87
2016-11-21 11,0,25,100
2016-11-21 10,16,46,74
2016-11-21 09,32,48,60
2016-11-21 08,50,37,43
2016-11-21 07,22,17,44
2016-11-21 06,8,5,38
2016-11-21 05,2,3,60
2016-11-21 04,2,5,71
2016-11-21 03,6,4,40
2016-11-21 02,4,10,71
2016-11-21 01,4,11,73
2016-11-21 00,6,22,79
2016-11-20 23,0,41,100
2016-11-20 22,3,40,93
2016-11-20 21,1,25,96
2016-11-20 20,3,43,93
2016-11-20 19,1,37,97
2016-11-20 18,1,43,98
2016-11-20 17,2,27,93
2016-11-20 16,4,31,89
2016-11-20 15,3,36,92
2016-11-20 14,2,25,93
2016-11-20 13,6,21,78
2016-11-20 12,5,32,86
2016-11-20 11,8,18,69
2016-11-20 10,5,13,72
2016-11-20 09,7,18,72
2016-11-20 08,6,12,67
2016-11-20 07,2,8,80
2016-11-20 06,3,10,77
2016-11-20 05,1,10,91
2016-11-20 04,4,23,85
2016-11-20 03,3,32,91
2016-11-20 02,6,36,86
2016-11-20 01,1,48,98
2016-11-20 00,1,53,98
2016-11-19 23,0,59,100
2016-11-19 22,2,46,96
2016-11-19 21,1,37,97
2016-11-19 20,9,35,80
2016-11-19 19,8,45,85
2016-11-19 18,6,43,88
2016-11-19 17,5,38,88
2016-11-19 16,7,36,84
2016-11-19 15,7,33,83
2016-11-19 14,5,32,86
2016-11-19 13,6,28,82
2016-11-19 12,7,28,80
2016-11-19 11,12,28,70
2016-11-19 10,10,29,74
2016-11-19 09,16,18,53
2016-11-19 08,12,10,45
2016-11-19 07,20,10,33
2016-11-19 06,3,5,63
2016-11-19 05,2,13,87
2016-11-19 04,8,22,73
2016-11-19 03,4,38,90
2016-11-19 02,2,33,94
2016-11-19 01,3,41,93
2016-11-19 00,3,59,95
2016-11-18 23,6,59,91
2016-11-18 22,6,40,87
2016-11-18 21,6,49,89
2016-11-18 20,7,52,88
2016-11-18 19,10,76,88
2016-11-18 18,16,66,80
2016-11-18 17,11,51,82
2016-11-18 16,17,32,65
2016-11-18 15,38,46,55
2016-11-18 14,12,38,76
2016-11-18 13,10,34,77
2016-11-18 12,15,30,67
2016-11-18 11,9,30,77
2016-11-18 10,14,50,78
2016-11-18 09,25,48,66
2016-11-18 08,26,34,57
2016-11-18 07,18,26,59
2016-11-18 06,7,2,22
2016-11-18 05,9,3,25
2016-11-18 04,12,20,63
2016-11-18 03,7,30,81
2016-11-18 02,1,19,95
2016-11-18 01,3,31,91
2016-11-18 00,5,44,90
2016-11-17 23,11,66,86
2016-11-17 22,5,78,94
2016-11-17 21,6,77,93
2016-11-17 20,8,70,90
2016-11-17 19,15,76,84
2016-11-17 18,34,93,73
2016-11-17 17,22,61,73
2016-11-17 16,21,41,66
2016-11-17 15,17,40,70
2016-11-17 14,8,24,75
2016-11-17 13,16,19,54
2016-11-17 12,10,29,74
2016-11-17 11,8,32,80
2016-11-17 10,17,49,74
2016-11-17 09,33,56,63
2016-11-17 08,23,45,66
2016-11-17 07,22,16,42
2016-11-17 06,6,3,33
2016-11-17 05,1,3,75
2016-11-17 04,6,9,60
2016-11-17 03,16,19,54
2016-11-17 02,4,22,85
2016-11-17 01,4,19,83
2016-11-17 00,3,37,93
2016-11-16 23,3,57,95
2016-11-16 22,18,65,78
2016-11-16 21,3,50,94
2016-11-16 20,4,52,93
2016-11-16 19,14,86,86
2016-11-16 18,16,71,82
2016-11-16 17,15,58,79
2016-11-16 16,6,23,79
2016-11-16 15,3,24,89
2016-11-16 14,4,26,87
2016-11-16 13,6,31,84
2016-11-16 12,5,31,86
2016-11-16 11,5,30,86
2016-11-16 10,5,49,91
2016-11-16 09,24,67,74
2016-11-16 08,33,53,62
2016-11-16 07,16,19,54
2016-11-16 06,2,4,67
2016-11-16 05,0,2,100
2016-11-16 04,2,3,60
2016-11-16 03,1,6,86
2016-11-16 02,1,4,80
2016-11-16 01,2,19,90
2016-11-16 00,6,39,87
2016-11-15 23,0,43,100
2016-11-15 22,11,51,82
2016-11-15 21,6,44,88
2016-11-15 20,13,49,79
2016-11-15 19,17,75,82
2016-11-15 18,13,60,82
2016-11-15 17,15,50,77
2016-11-15 16,6,37,86
2016-11-15 15,5,16,76
2016-11-15 14,5,21,81
2016-11-15 13,3,22,88
2016-11-15 12,7,34,83
2016-11-15 11,2,24,92
2016-11-15 10,13,34,72
2016-11-15 09,41,52,56
2016-11-15 08,58,35,38
2016-11-15 07,27,14,34
2016-11-15 06,2,4,67
2016-11-15 05,2,1,33
2016-11-15 04,1,1,50
2016-11-15 03,1,2,67
2016-11-15 02,0,5,100
2016-11-15 01,1,4,80
2016-11-15 00,4,23,85
2016-11-14 23,10,26,72
2016-11-14 22,7,31,82
2016-11-14 21,4,38,90
2016-11-14 20,6,37,86
2016-11-14 19,10,54,84
2016-11-14 18,11,59,84
2016-11-14 17,0,37,100
2016-11-14 16,5,28,85
2016-11-14 15,2,23,92
2016-11-14 14,7,21,75
2016-11-14 13,4,25,86
2016-11-14 12,3,19,86
2016-11-14 11,5,22,81
2016-11-14 10,12,43,78
2016-11-14 09,43,42,49
2016-11-14 08,38,39,51
2016-11-14 07,22,25,53
2016-11-14 06,1,5,83
2016-11-14 05,4,4,50
2016-11-14 04,4,4,50
2016-11-14 03,1,2,67
2016-11-14 02,3,6,67
2016-11-14 01,8,8,50
2016-11-14 00,9,15,63